11371806,2120,2715,4500,0,595
11371807,2715,3310,4500,0,595
11371808,1620,2120,4500,0,500
11371809,3310,3905,4500,0,595
11372318,26117,26992,6750,20242,875
11373204,17810,18405,18000,405,595
11375177,7475,8070,9000,0,595
11381562,1393,1620,4500,0,227
11411051,0,798,2250,0,798
11415066,20279,20963,11250,9713,684
11415067,10223,10818,11250,0,595
11415083,10818,11525,11250,275,595
11415085,9260,9628,11250,0,368
11415087,12455,13050,11250,1800,595
11415234,23723,24521,9000,15521,798
11417581,3905,4500,4500,0,595
11424557,19595,20279,9000,11279,684
11424558,8070,8665,9000,0,595
11424559,8665,9260,9000,260,595
11426000,14835,15430,13500,1930,595
11426006,15430,16025,13500,2525,595
11426008,16025,16620,13500,3120,595
11431082,11525,11990,13500,0,465
11431085,11990,12455,13500,0,465
11431086,24521,25319,13500,11819,798
11431093,25319,26117,13500,12617,798
11464103,4500,5095,4500,595,595
11464112,5095,5690,4500,1190,595
11466990,5690,6285,4500,1785,595
11467126,6285,6880,6750,130,595
11467129,6880,7475,6750,725,595
11479603,20963,21653,6750,14903,690
11481472,16620,17215,13500,3715,595
11481473,17215,17810,13500,4310,595
11481487,11294,11406,13500,0,112
11481492,21653,22343,13500,8843,690
11482497,798,1393,3150,0,595
11482913,9628,10223,9000,1223,595
11485052,18405,19000,18000,1000,595
11485053,19000,19595,18000,1595,595
11485066,22343,23033,18000,5033,690
11485067,23033,23723,18000,5723,690
113751778,13050,13645,11250,2395,595
113751779,13645,14240,11250,2990,595
113751780,14240,14835,11250,3585,595
