11369676,21555,21846,15750,6096,291
11369731,21846,22146,15750,6396,300
11370645,3225,3340,4500,0,115
11370654,3340,3592,4500,0,252
11371431,814,962,2250,0,148
11371820,1334,1669,3150,0,335
11372266,0,286,1350,0,286
11372286,14534,14842,13500,1342,308
11372287,14842,15150,13500,1650,308
11372288,15150,15458,13500,1958,308
11372290,15458,15766,13500,2266,308
11372291,15766,16074,13500,2574,308
11372292,16074,16500,13500,3000,426
11372293,16500,16808,13500,3308,308
11372294,16808,17116,13500,3616,308
11372295,17116,17424,13500,3924,308
11372302,1669,1909,3150,0,240
11372310,1909,2079,3150,0,170
11372630,286,484,1350,0,198
11372993,3592,3898,4500,0,306
11372996,3898,4206,4500,0,308
11374291,17424,17676,13500,4176,252
11374513,17676,17766,13500,4266,90
11375210,24248,24556,18000,6556,308
11375212,24556,24646,18000,6646,90
11375217,24646,24946,18000,6946,300
11375218,24946,25172,18000,7172,226
11375220,25172,25398,18000,7398,226
11378891,4206,4486,4500,0,280
11414927,962,1052,2250,0,90
11414932,1052,1202,2250,0,150
11414937,1202,1334,2250,0,132
11415099,25398,25596,18000,7596,198
11415105,25596,25794,18000,7794,198
11415107,25794,25992,18000,7992,198
11415108,25992,26190,18000,8190,198
11415109,26190,26398,18000,8398,208
11415110,26398,26606,18000,8606,208
11415417,4486,4636,4500,136,150
11415423,4636,4862,4500,362,226
11415434,4862,5261,4500,761,399
11415452,5261,5513,4500,1013,252
11415460,5513,5858,4500,1358,345
11415461,5858,6110,4500,1610,252
11415531,26606,27032,18000,9032,426
11415533,27032,27147,18000,9147,115
11415534,27147,27455,18000,9455,308
11415541,27455,27763,18000,9763,308
11415543,27763,28071,18000,10071,308
11419187,2079,2305,3150,0,226
11425917,6743,7051,9000,0,308
11425918,7051,7359,9000,0,308
11425927,7359,7667,9000,0,308
11425932,7667,7975,9000,0,308
11425984,22146,22398,15750,6648,252
11425985,22398,22650,15750,6900,252
11425986,22650,22902,15750,7152,252
11426725,9565,9817,11250,0,252
11429443,17766,18117,13500,4617,351
12000002,18117,18207,13500,4707,90
11429452,22902,23152,15750,7402,250
11429554,18207,18459,13500,4959,252
11429557,18459,18711,13500,5211,252
11429713,18711,18937,13500,5437,226
11429715,18937,19163,13500,5663,226
11430970,19163,19471,13500,5971,308
11431583,28071,28379,18000,10379,308
11431584,28379,28687,18000,10687,308
11431585,28687,28995,18000,10995,308
11431586,28995,29303,18000,11303,308
11431587,29303,29611,18000,11611,308
11433279,19471,19779,13500,6279,308
11433280,19779,20087,13500,6587,308
11433285,20087,20395,13500,6895,308
11434328,2305,2613,3150,0,308
11434333,2613,2921,3150,0,308
11435689,20395,20651,13500,7151,256
11436442,484,814,1350,0,330
11461327,7975,8183,9000,0,208
11467145,23152,23408,15750,7658,256
11467148,23408,23664,15750,7914,256
11467243,23664,23948,15750,8198,284
11467247,23948,24248,15750,8498,300
11476279,2921,3225,3150,75,304
11481462,9817,10060,11250,0,243
11481501,6263,6547,6750,0,284
11485049,29611,29867,18000,11867,256
11485050,29867,30123,18000,12123,256
11485110,20651,20903,13500,7403,252
11485111,20903,21083,13500,7583,180
11485113,21083,21319,13500,7819,236
11485118,21319,21555,13500,8055,236
11485143,30123,30431,18000,12431,308
11485144,30431,30739,18000,12739,308
11485145,30739,31047,18000,13047,308
11485146,31047,31355,18000,13355,308
11485149,31355,31663,18000,13663,308
11485150,31663,31971,18000,13971,308
11485154,31971,32279,18000,14279,308
11485155,32279,32587,18000,14587,308
11485158,8183,8409,9000,0,226
11485160,8409,8635,9000,0,226
11485161,8635,8861,9000,0,226
11485163,8861,9087,9000,87,226
11485164,9087,9313,9000,313,226
11485173,10060,10312,11250,0,252
11485175,10312,10402,11250,0,90
11485177,10402,10654,11250,0,252
11485179,10654,10906,11250,0,252
11485180,10906,11158,11250,0,252
11485185,11158,11410,11250,160,252
11487293,6110,6263,4500,1763,153
11490009,11410,11662,11250,412,252
11490010,11662,11914,11250,664,252
11490018,9313,9565,9000,565,252
11492816,11914,12222,11250,972,308
11492818,12222,12530,11250,1280,308
11492835,12530,12756,11250,1506,226
11492836,12756,12982,11250,1732,226
11492837,12982,13208,11250,1958,226
11492838,13208,13434,11250,2184,226
11492839,13434,13660,11250,2410,226
11492840,13660,13856,11250,2606,196
11492841,6547,6743,6750,0,196
11492842,13856,14082,11250,2832,226
11492843,14082,14308,11250,3058,226
11492844,14308,14534,11250,3284,226
11492856,32587,32809,18000,14809,222
11496870,32809,33035,18000,15035,226
